Category ID,Category Label,Category_Primary,Category_Secondary
10000,Arts and Entertainment,Arts and Entertainment,
10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park
10002,Arts and Entertainment > Aquarium,Arts and Entertainment , Aquarium
10003,Arts and Entertainment > Arcade,Arts and Entertainment , Arcade
10004,Arts and Entertainment > Art Gallery,Arts and Entertainment , Art Gallery
10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center
10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley
10007,Arts and Entertainment > Carnival,Arts and Entertainment , Carnival
10008,Arts and Entertainment > Casino,Arts and Entertainment , Casino
10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus
10010,Arts and Entertainment > Comedy Club,Arts and Entertainment , Comedy Club
10011,Arts and Entertainment > Country Club,Arts and Entertainment , Country Club
10012,Arts and Entertainment > Country Dance Club,Arts and Entertainment , Country Dance Club
10013,Arts and Entertainment > Dance Hall,Arts and Entertainment , Dance Hall
10014,Arts and Entertainment > Disc Golf Course,Arts and Entertainment , Disc Golf Course
10015,Arts and Entertainment > Escape Room,Arts and Entertainment , Escape Room
10016,Arts and Entertainment > Exhibit,Arts and Entertainment , Exhibit
10017,Arts and Entertainment > Fair,Arts and Entertainment , Fair
10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe
10019,Arts and Entertainment > Go Kart Track,Arts and Entertainment , Go Kart Track
10020,Arts and Entertainment > Internet Cafe,Arts and Entertainment , Internet Cafe
10021,Arts and Entertainment > Karaoke Box,Arts and Entertainment , Karaoke Box
10022,Arts and Entertainment > Laser Tag Center,Arts and Entertainment , Laser Tag Center
10023,Arts and Entertainment > Mini Golf Course,Arts and Entertainment , Mini Golf Course
10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater
10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater 
10026,Arts and Entertainment > Movie Theater > Indie Movie Theater,Arts and Entertainment , Movie Theater 
10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum
10028,Arts and Entertainment > Museum > Art Museum,Arts and Entertainment , Museum 
10029,Arts and Entertainment > Museum > Erotic Museum,Arts and Entertainment , Museum 
10030,Arts and Entertainment > Museum > History Museum,Arts and Entertainment , Museum 
10031,Arts and Entertainment > Museum > Science Museum,Arts and Entertainment , Museum 
10032,Arts and Entertainment > Night Club,Arts and Entertainment , Night Club
10033,Arts and Entertainment > Pachinko Parlor,Arts and Entertainment , Pachinko Parlor
10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center
10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue
10036,Arts and Entertainment > Performing Arts Venue > Amphitheater,Arts and Entertainment , Performing Arts Venue 
10037,Arts and Entertainment > Performing Arts Venue > Concert Hall,Arts and Entertainment , Performing Arts Venue 
10038,Arts and Entertainment > Performing Arts Venue > Indie Theater,Arts and Entertainment , Performing Arts Venue 
10039,Arts and Entertainment > Performing Arts Venue > Music Venue,Arts and Entertainment , Performing Arts Venue 
10040,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,Arts and Entertainment , Performing Arts Venue 
10041,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,Arts and Entertainment , Performing Arts Venue 
10042,Arts and Entertainment > Performing Arts Venue > Opera House,Arts and Entertainment , Performing Arts Venue 
10043,Arts and Entertainment > Performing Arts Venue > Theater,Arts and Entertainment , Performing Arts Venue 
10044,Arts and Entertainment > Planetarium,Arts and Entertainment , Planetarium
10045,Arts and Entertainment > Pool Hall,Arts and Entertainment , Pool Hall
10046,Arts and Entertainment > Psychic and Astrologer,Arts and Entertainment , Psychic and Astrologer
10047,Arts and Entertainment > Public Art,Arts and Entertainment , Public Art
10048,Arts and Entertainment > Roller Rink,Arts and Entertainment , Roller Rink
10049,Arts and Entertainment > Salsa Club,Arts and Entertainment , Salsa Club
10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School
10051,Arts and Entertainment > Stadium,Arts and Entertainment , Stadium
10052,Arts and Entertainment > Strip Club,Arts and Entertainment , Strip Club
10053,Arts and Entertainment > Ticket Seller,Arts and Entertainment , Ticket Seller
10054,Arts and Entertainment > VR Cafe,Arts and Entertainment , VR Cafe
10055,Arts and Entertainment > Water Park,Arts and Entertainment , Water Park
10056,Arts and Entertainment > Zoo,Arts and Entertainment , Zoo
10057,Arts and Entertainment > Disc Golf,Arts and Entertainment , Disc Golf
10058,Arts and Entertainment > Amusement Park > Attraction,Arts and Entertainment , Amusement Park 
10059,Arts and Entertainment > Public Art > Street Art,Arts and Entertainment , Public Art 
10060,Arts and Entertainment > Stadium > Baseball Stadium,Arts and Entertainment , Stadium 
10061,Arts and Entertainment > Stadium > Basketball Stadium,Arts and Entertainment , Stadium 
10062,Arts and Entertainment > Stadium > Football Stadium,Arts and Entertainment , Stadium 
