CATEGORY_LABEL,SIMPLIFIED_CATEGORY,UPDATED_CATEGORY
campground,Accommodation & Lodging,Accommodation & Lodging
beach_resort,Accommodation & Lodging,Accommodation & Lodging
apartment_agent,Accommodation & Lodging,Accommodation & Lodging
apartments,Accommodation & Lodging,Accommodation & Lodging
hotel_supply_service,Accommodation & Lodging,Business-to-Business
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging
resort,Accommodation & Lodging,Accommodation & Lodging
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging
motel,Accommodation & Lodging,Accommodation & Lodging
cottage,Accommodation & Lodging,Accommodation & Lodging
low_income_housing,Accommodation & Lodging,Accommodation & Lodging
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors
houseboat,Accommodation & Lodging,Accommodation & Lodging
inn,Accommodation & Lodging,Accommodation & Lodging
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging
guest_house,Accommodation & Lodging,Accommodation & Lodging
pension,Accommodation & Lodging,Financial Services
rv_park,Accommodation & Lodging,Accommodation & Lodging
cabin,Accommodation & Lodging,Accommodation & Lodging
hostel,Accommodation & Lodging,Accommodation & Lodging
hotel,Accommodation & Lodging,Accommodation & Lodging
service_apartments,Accommodation & Lodging,Accommodation & Lodging
condominium,Accommodation & Lodging,Accommodation & Lodging
lodge,Accommodation & Lodging,Accommodation & Lodging
housing_authorities,Accommodation & Lodging,Accommodation & Lodging
accommodation,Accommodation & Lodging,Accommodation & Lodging
fish_farm,Agriculture & Farming,Agriculture & Farming
pumpkin_patch,Agriculture & Farming,Agriculture & Farming
csa_farm,Agriculture & Farming,Agriculture & Farming
pig_farm,Agriculture & Farming,Agriculture & Farming
urban_farm,Agriculture & Farming,Agriculture & Farming
farming_services,Agriculture & Farming,Agriculture & Farming
fish_farms_and_hatcheries,Agriculture & Farming,Agriculture & Farming
orchard,Agriculture & Farming,Agriculture & Farming
ranch,Agriculture & Farming,Agriculture & Farming
agriculture,Agriculture & Farming,Agriculture & Farming
grain_elevators,Agriculture & Farming,Agriculture & Farming
b2b_farms,Agriculture & Farming,Business-to-Business
poultry_farm,Agriculture & Farming,Agriculture & Farming
dairy_farm,Agriculture & Farming,Agriculture & Farming
agricultural_service,Agriculture & Farming,Agriculture & Farming
agriculture_association,Agriculture & Farming,Agriculture & Farming
poultry_farming,Agriculture & Farming,Agriculture & Farming
b2b_farming,Agriculture & Farming,Business-to-Business
farm,Agriculture & Farming,Agriculture & Farming
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming
produce_wholesaler,Agriculture & Farming,Agriculture & Farming
pick_your_own_farm,Agriculture & Farming,Agriculture & Farming
haunted_house,Arts & Entertainment,Arts & Entertainment
clown,Arts & Entertainment,Arts & Entertainment
agricultural_cooperatives,Arts & Entertainment,Arts & Entertainment
zoo,Arts & Entertainment,Arts & Entertainment
studio_taping,Arts & Entertainment,Arts & Entertainment
virtual_reality_center,Arts & Entertainment,Arts & Entertainment
history_museum,Arts & Entertainment,Arts & Entertainment
performing_arts,Arts & Entertainment,Arts & Entertainment
circus,Arts & Entertainment,Arts & Entertainment
sports_museum,Arts & Entertainment,Arts & Entertainment
aquarium,Arts & Entertainment,Arts & Entertainment
agricultural_production,Arts & Entertainment,Arts & Entertainment
music_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment
art_school,Arts & Entertainment,Arts & Entertainment
topic_concert_venue,Arts & Entertainment,Arts & Entertainment
trade_fair,Arts & Entertainment,Arts & Entertainment
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment
dance_club,Arts & Entertainment,Arts & Entertainment
opera_and_ballet,Arts & Entertainment,Arts & Entertainment
general_festivals,Arts & Entertainment,Arts & Entertainment
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment
escape_rooms,Arts & Entertainment,Arts & Entertainment
henna_artist,Arts & Entertainment,Arts & Entertainment
crops_production,Arts & Entertainment,Arts & Entertainment
water_park,Arts & Entertainment,Arts & Entertainment
cultural_center,Arts & Entertainment,Arts & Entertainment
choir,Arts & Entertainment,Arts & Entertainment
contemporary_art_museum,Arts & Entertainment,Arts & Entertainment
adult_entertainment,Arts & Entertainment,Arts & Entertainment
art_gallery,Arts & Entertainment,Arts & Entertainment
observatory,Arts & Entertainment,Arts & Entertainment
festival,Arts & Entertainment,Arts & Entertainment
entertainment_law,Arts & Entertainment,Arts & Entertainment
film_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment
computer_museum,Arts & Entertainment,Arts & Entertainment
planetarium,Arts & Entertainment,Arts & Entertainment
amusement_park,Arts & Entertainment,Arts & Entertainment
orchards_production,Arts & Entertainment,Arts & Entertainment
arts_and_entertainment,Arts & Entertainment,Arts & Entertainment
community_museum,Arts & Entertainment,Arts & Entertainment
commissioned_artist,Arts & Entertainment,Arts & Entertainment
video_film_production,Arts & Entertainment,Arts & Entertainment
recording_and_rehearsal_studio,Arts & Entertainment,Arts & Entertainment
rodeo,Arts & Entertainment,Arts & Entertainment
design_museum,Arts & Entertainment,Arts & Entertainment
theatre,Arts & Entertainment,Arts & Entertainment
karaoke,Arts & Entertainment,Arts & Entertainment
asian_art_museum,Arts & Entertainment,Arts & Entertainment
corporate_entertainment_services,Arts & Entertainment,Arts & Entertainment
qi_gong_studio,Arts & Entertainment,Beauty & Wellness
comedy_club,Arts & Entertainment,Arts & Entertainment
state_museum,Arts & Entertainment,Arts & Entertainment
drive_in_theater,Arts & Entertainment,Arts & Entertainment
tai_chi_studio,Arts & Entertainment,Beauty & Wellness
music_production_services,Arts & Entertainment,Arts & Entertainment
photography_museum,Arts & Entertainment,Arts & Entertainment
broadcasting_media_production,Arts & Entertainment,Arts & Entertainment
national_museum,Arts & Entertainment,Arts & Entertainment
theatrical_productions,Arts & Entertainment,Arts & Entertainment
aviation_museum,Arts & Entertainment,Arts & Entertainment
outdoor_movies,Arts & Entertainment,Arts & Entertainment
aquarium_services,Arts & Entertainment,Arts & Entertainment
decorative_arts_museum,Arts & Entertainment,Arts & Entertainment
music_production,Arts & Entertainment,Arts & Entertainment
magician,Arts & Entertainment,Arts & Entertainment
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment
art_tours,Arts & Entertainment,Arts & Entertainment
petting_zoo,Arts & Entertainment,Arts & Entertainment
cinema,Arts & Entertainment,Arts & Entertainment
movie_television_studio,Arts & Entertainment,Arts & Entertainment
housing_cooperative,Arts & Entertainment,Arts & Entertainment
costume_museum,Arts & Entertainment,Arts & Entertainment
dance_school,Arts & Entertainment,Arts & Entertainment
science_museum,Arts & Entertainment,Arts & Entertainment
animation_studio,Arts & Entertainment,Arts & Entertainment
childrens_museum,Arts & Entertainment,Arts & Entertainment
music_venue,Arts & Entertainment,Arts & Entertainment
art_museum,Arts & Entertainment,Arts & Entertainment
arcade,Arts & Entertainment,Arts & Entertainment
circus_school,Arts & Entertainment,Arts & Entertainment
karaoke_rental,Arts & Entertainment,Arts & Entertainment
military_museum,Arts & Entertainment,Arts & Entertainment
botanical_garden,Arts & Entertainment,Arts & Entertainment
fair,Arts & Entertainment,Arts & Entertainment
drama_school,Arts & Entertainment,Arts & Entertainment
bingo_hall,Arts & Entertainment,Arts & Entertainment
modern_art_museum,Arts & Entertainment,Arts & Entertainment
casino,Arts & Entertainment,Arts & Entertainment
grain_production,Arts & Entertainment,Arts & Entertainment
museum,Arts & Entertainment,Arts & Entertainment
civilization_museum,Arts & Entertainment,Arts & Entertainment
dinner_theater,Arts & Entertainment,Arts & Entertainment
commercial_vehicle_dealer,Automotive,Automotive
emissions_inspection,Automotive,Automotive
b2b_forklift_dealers,Automotive,Business-to-Business
foundation_repair,Automotive,Automotive
coin_dealers,Automotive,Automotive
shoe_repair,Automotive,Automotive
hydraulic_repair_service,Automotive,Automotive
trailer_dealer,Automotive,Automotive
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business
automotive_parts_and_accessories,Automotive,Automotive
wheel_and_rim_repair,Automotive,Automotive
auto_customization,Automotive,Automotive
auto_glass_service,Automotive,Automotive
forklift_dealer,Automotive,Automotive
car_inspection,Automotive,Automotive
media_restoration_service,Automotive,Automotive
car_buyer,Automotive,Automotive
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business
boat_service_and_repair,Automotive,Automotive
motorcycle_rentals,Automotive,Automotive
car_dealer,Automotive,Automotive
truck_rentals,Automotive,Automotive
motorcycle_dealer,Automotive,Automotive
recreation_vehicle_repair,Automotive,Automotive
mobile_home_dealer,Automotive,Automotive
car_wash,Automotive,Automotive
brake_service_and_repair,Automotive,Automotive
automation_services,Automotive,Automotive
automotive_wheel_polishing_service,Automotive,Automotive
exhaust_and_muffler_repair,Automotive,Automotive
car_broker,Automotive,Automotive
car_window_tinting,Automotive,Automotive
department_of_motor_vehicles,Automotive,Automotive
tire_dealer_and_repair,Automotive,Automotive
towing_service,Automotive,Automotive
jewelry_repair_service,Automotive,Automotive
car_rental_agency,Automotive,Automotive
inspection_services,Automotive,Automotive
truck_dealer,Automotive,Automotive
bike_repair_maintenance,Automotive,Automotive
mobile_home_repair,Automotive,Automotive
trucks_and_industrial_vehicles,Automotive,Automotive
automotive_services_and_repair,Automotive,Automotive
truck_repair,Automotive,Automotive
clock_repair_service,Automotive,Automotive
b2b_autos_and_vehicles,Automotive,Business-to-Business
fire_and_water_damage_restoration,Automotive,Automotive
auto_security,Automotive,Automotive
motorcycle_gear,Automotive,Automotive
car_stereo_installation,Automotive,Automotive
farm_equipment_repair_service,Automotive,Automotive
auto_detailing,Automotive,Automotive
car_auction,Automotive,Automotive
boat_dealer,Automotive,Automotive
it_service_and_computer_repair,Automotive,Automotive
truck_dealer_for_businesses,Automotive,Automotive
automotive_repair,Automotive,Automotive
home_automation,Automotive,Automotive
hybrid_car_repair,Automotive,Automotive
furniture_repair,Automotive,Automotive
diamond_dealer,Automotive,Automotive
automotive,Automotive,Automotive
auto_loan_provider,Automotive,Automotive
aircraft_repair,Automotive,Automotive
used_car_dealer,Automotive,Automotive
retirement_home,Automotive,Automotive
automotive_dealer,Automotive,Automotive
water_heater_installation_repair,Automotive,Automotive
motorsport_vehicle_repair,Automotive,Automotive
