OM_Category,Best_Match_FSQ_Category_Label,Best_Match_FSQ_Category_Name,Best_Match_FSQ_Category_ID,Confidence_Score,Alternative_1_FSQ_Label,Alternative_1_Score,Alternative_2_FSQ_Label,Alternative_2_Score,Alternative_3_FSQ_Label,Alternative_3_Score,Alternative_4_FSQ_Label,Alternative_4_Score
3d_printing_service,Business and Professional Services > Automotive Service > Towing Service,Towing Service,63be6904847c3692a84b9b30,52.09,Business and Professional Services > Welding Service,51.24,Business and Professional Services > Technology Business > IT Service,50.59,Business and Professional Services > Tutoring Service,50.43,Business and Professional Services > Translation Service,50.37
abortion_clinic,Health and Medicine > Sports Medicine Clinic,Sports Medicine Clinic,63be6904847c3692a84b9bde,48.95,Health and Medicine > Maternity Clinic,48.81,Business and Professional Services > Health and Beauty Service > Skin Care Clinic,46.23,Health and Medicine > Alternative Medicine Clinic,45.86,Health and Medicine > Healthcare Clinic,45.5
abrasives_supplier,Business and Professional Services > Plastics Supplier,Plastics Supplier,63be6904847c3692a84b9b7e,52.71,Business and Professional Services > Paper Supplier,50.5,Business and Professional Services > Home Improvement Service > Garage Door Supplier,50.37,Business and Professional Services > Metals Supplier,49.67,Business and Professional Services > Rubber Supplier,49.67
abuse_and_addiction_treatment,Community and Government > Addiction Treatment Center,Addiction Treatment Center,63be6904847c3692a84b9b9b,57.3,Community and Government > Domestic Abuse Treatment Center,49.67,Business and Professional Services > Water Treatment Service,36.11,Business and Professional Services > Home Improvement Service > Deck and Patio Contractor,22.22,Arts and Entertainment,21.96
academic_bookstore,Retail > Bookstore > Used Bookstore,Used Bookstore,52f2ab2ebcbc57f1066b8b30,50.5,Community and Government > Education > College and University > College Bookstore,50.43,Retail > Bookstore,49.67,Community and Government > Education > College and University > College Academic Building,41.6,Retail > Comic Book Store,32.94
acai_bowls,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Acai House,Acai House,5294c7523cf9994f4e043a62,51.0,Health and Medicine > Physician > Cardiologist,21.82,Retail > Auction House,20.87,Arts and Entertainment > Casino,20.0,Travel and Transportation > Lodging > Vacation Rental,19.2
accommodation,Travel and Transportation > Transport Hub > Tram Station,Tram Station,52f2ab2ebcbc57f1066b8b51,22.4,Community and Government > Education,21.82,Business and Professional Services > Radio Station,21.54,Arts and Entertainment > Amusement Park > Attraction,20.87,Event > Convention,20.87
accountant,Landmarks and Outdoors > Fountain,Fountain,56aa371be4b08b9a8d573547,26.67,Landmarks and Outdoors > Mountain,26.67,Landmarks and Outdoors > Mountain Hut,25.45,Landmarks and Outdoors > States and Municipalities > County,25.0,Landmarks and Outdoors > States and Municipalities > Country,23.53
acne_treatment,Community and Government > Addiction Treatment Center,Addiction Treatment Center,63be6904847c3692a84b9b9b,49.0,Business and Professional Services > Water Treatment Service,48.95,Community and Government > Domestic Abuse Treatment Center,44.33,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Macanese Restaurant,24.24,Dining and Drinking > Restaurant > Asian Restaurant > Indonesian Restaurant > Acehnese Restaurant,24.24
acoustical_consultant,Business and Professional Services > Management Consultant,Management Consultant,63be6904847c3692a84b9b6f,47.76,Dining and Drinking > Restaurant > Austrian Restaurant,24.0,Dining and Drinking > Restaurant > French Restaurant > Corsican Restaurant,24.0,Dining and Drinking > Restaurant > Italian Restaurant > Aosta Restaurant,23.78,Business and Professional Services > Industrial Estate,23.16
active_life,Business and Professional Services > Creative Service,Creative Service,63be6904847c3692a84b9b37,23.7,Business and Professional Services > Automotive Service,22.07,Nightlife Spot > Other Nightlife,21.46,Event > Line,20.87,Business and Professional Services > Leather Supplier,20.74
acupuncture,Health and Medicine > Acupuncture Clinic,Acupuncture Clinic,52e81612bcbc57f1066b7a3b,76.34,Business and Professional Services > Manufacturer,24.35,Landmarks and Outdoors > Structure,24.0,Sports and Recreation > Race Track > Racecourse,22.86,Landmarks and Outdoors > States and Municipalities > Country,22.22
addiction_rehabilitation_center,Community and Government > Rehabilitation Center,Rehabilitation Center,56aa371be4b08b9a8d57351d,61.97,Community and Government > Addiction Treatment Center,60.54,Business and Professional Services > Distribution Center,41.93,Business and Professional Services > Convention Center,41.33,Business and Professional Services > Food and Beverage Service > Food Distribution Center,41.06
adoption_services,Business and Professional Services,Business and Professional Services,4d4b7105d754a06375d81259,46.53,Business and Professional Services > Office,43.0,Business and Professional Services > Tailor,43.0,Business and Professional Services > Factory,42.67,Business and Professional Services > Ballroom,42.35
adult_education,Community and Government > Education > Adult Education,Adult Education,56aa371ce4b08b9a8d573570,86.0,Community and Government > Education,53.0,Retail > Adult Store,44.54,Community and Government > Education > Preschool,39.51,Community and Government > Education > Art School,39.25
adult_entertainment,Arts and Entertainment > General Entertainment,General Entertainment,4bf58dd8d48988d1f1931735,55.0,Arts and Entertainment,54.22,Event > Entertainment Event,50.37,Arts and Entertainment > Zoo,50.23,Arts and Entertainment > Fair,49.67
adult_store,Retail > Adult Store,Adult Store,5267e446e4b0ec79466e48c4,86.0,Retail > Outlet Store,54.3,Retail > Board Store,52.09,Retail > Fashion Retail > Batik Store,52.09,Retail > Fashion Retail > Watch Store,52.09
