OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label,Match_Confidence_Score
campground,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19035,Travel and Transportation > Transport Hub > Airport > Airport Lounge,0.200
beach_resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19018,Travel and Transportation > Lodging > Resort,0.950
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19024,Travel and Transportation > Rest Area,0.200
apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental,0.192
hotel_supply_service,Accommodation & Lodging,Business-to-Business,Business and Professional Services,11089,Business and Professional Services > Home Improvement Service > Home Service,0.475
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19010,Travel and Transportation > Lodging > Bed and Breakfast,1.000
resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19018,Travel and Transportation > Lodging > Resort,1.000
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental,0.950
motel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19017,Travel and Transportation > Lodging > Motel,1.000
cottage,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19014,Travel and Transportation > Lodging > Hotel,0.200
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19011,Travel and Transportation > Lodging > Boarding House,0.200
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors,Business and Professional Services,11182,Business and Professional Services > Business Service,0.503
houseboat,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19013,Travel and Transportation > Lodging > Hostel,0.213
inn,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19015,Travel and Transportation > Lodging > Inn,1.000
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19048,Travel and Transportation > Transport Hub > Rental Car Location,0.226
guest_house,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19011,Travel and Transportation > Lodging > Boarding House,0.524
pension,Accommodation & Lodging,Financial Services,Business and Professional Services,11034,Business and Professional Services > Engineer,0.213
rv_park,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19025,Travel and Transportation > RV Park,1.000
cabin,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19012,Travel and Transportation > Lodging > Cabin,1.000
hostel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19013,Travel and Transportation > Lodging > Hostel,1.000
hotel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19014,Travel and Transportation > Lodging > Hotel,1.000
service_apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19053,Travel and Transportation > Transportation Service > Limo Service,0.487
condominium,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19009,Travel and Transportation > Lodging,0.178
lodge,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19016,Travel and Transportation > Lodging > Lodge,1.000
housing_authorities,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19059,Travel and Transportation > Moving Target,0.175
