OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary
campground,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
beach_resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
hotel_supply_service,Accommodation & Lodging,Business-to-Business,Business and Professional Services
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
motel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
cottage,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors,Business and Professional Services
houseboat,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
inn,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
guest_house,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
pension,Accommodation & Lodging,Financial Services,Business and Professional Services
rv_park,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
cabin,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
hostel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
hotel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
service_apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
condominium,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
lodge,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
housing_authorities,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
accommodation,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation
fish_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
pumpkin_patch,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
csa_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
pig_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
urban_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
farming_services,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
fish_farms_and_hatcheries,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
orchard,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
ranch,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
agriculture,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
grain_elevators,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
b2b_farms,Agriculture & Farming,Business-to-Business,Business and Professional Services
poultry_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
dairy_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
agricultural_service,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
agriculture_association,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
poultry_farming,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
b2b_farming,Agriculture & Farming,Business-to-Business,Business and Professional Services
farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
produce_wholesaler,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
pick_your_own_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors
haunted_house,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
clown,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
agricultural_cooperatives,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
zoo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
studio_taping,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
virtual_reality_center,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
history_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
performing_arts,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
circus,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
sports_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
aquarium,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
agricultural_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
music_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
art_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
trade_fair,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
dance_club,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
general_festivals,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
escape_rooms,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
henna_artist,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
crops_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
water_park,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
cultural_center,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
choir,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
contemporary_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
adult_entertainment,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
art_gallery,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
observatory,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
festival,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
entertainment_law,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
film_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
computer_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
planetarium,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
amusement_park,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
orchards_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
arts_and_entertainment,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
community_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
commissioned_artist,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
video_film_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
recording_and_rehearsal_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
rodeo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
design_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
theatre,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
karaoke,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
asian_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
corporate_entertainment_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
qi_gong_studio,Arts & Entertainment,Beauty & Wellness,Business and Professional Services
comedy_club,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
state_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
drive_in_theater,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
tai_chi_studio,Arts & Entertainment,Beauty & Wellness,Business and Professional Services
music_production_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
photography_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
broadcasting_media_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
national_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
theatrical_productions,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
aviation_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
outdoor_movies,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
aquarium_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
