OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label,Confidence_Score,Match_Quality,Match_Method
campground,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,16008,Landmarks and Outdoors > Campground,1.000,EXCELLENT,LOGICAL
beach_resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19018,Travel and Transportation > Lodging > Resort,0.985,EXCELLENT,LOGICAL
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,11145,Business and Professional Services > Real Estate Service,0.728,FAIR,LOGICAL
apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,12122,Community and Government > Residential Building > Apartment or Condo,0.777,GOOD,LOGICAL
hotel_supply_service,Accommodation & Lodging,Business-to-Business,Business and Professional Services,11182,Business and Professional Services > Business Service,0.827,GOOD,LOGICAL
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19010,Travel and Transportation > Lodging > Bed and Breakfast,1.000,EXCELLENT,LOGICAL
resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19018,Travel and Transportation > Lodging > Resort,1.000,EXCELLENT,LOGICAL
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental,0.985,EXCELLENT,LOGICAL
motel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19017,Travel and Transportation > Lodging > Motel,1.000,EXCELLENT,LOGICAL
cottage,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental,0.744,FAIR,LOGICAL
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,12122,Community and Government > Residential Building > Apartment or Condo,0.733,FAIR,LOGICAL
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors,Business and Professional Services,11028,Business and Professional Services > Construction,0.756,GOOD,LOGICAL
houseboat,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19009,Travel and Transportation > Lodging,0.717,FAIR,LOGICAL
