OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label
campground,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,16008,Landmarks and Outdoors > Campground
beach_resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19018,Travel and Transportation > Lodging > Resort
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,11145,Business and Professional Services > Real Estate Service
apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,12122,Community and Government > Residential Building > Apartment or Condo
hotel_supply_service,Accommodation & Lodging,Business-to-Business,Business and Professional Services,11182,Business and Professional Services > Business Service
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19010,Travel and Transportation > Lodging > Bed and Breakfast
resort,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19018,Travel and Transportation > Lodging > Resort
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental
motel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19017,Travel and Transportation > Lodging > Motel
cottage,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,12122,Community and Government > Residential Building > Apartment or Condo
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors,Business and Professional Services,11028,Business and Professional Services > Construction
houseboat,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19009,Travel and Transportation > Lodging
inn,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19015,Travel and Transportation > Lodging > Inn
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental
guest_house,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19011,Travel and Transportation > Lodging > Boarding House
pension,Accommodation & Lodging,Financial Services,Business and Professional Services,11020,Business and Professional Services > Office > Business and Strategy Consulting Office
rv_park,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19025,Travel and Transportation > RV Park
cabin,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19012,Travel and Transportation > Lodging > Cabin
hostel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19013,Travel and Transportation > Lodging > Hostel
hotel,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19014,Travel and Transportation > Lodging > Hotel
service_apartments,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19019,Travel and Transportation > Lodging > Vacation Rental
condominium,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,12122,Community and Government > Residential Building > Apartment or Condo
lodge,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19016,Travel and Transportation > Lodging > Lodge
housing_authorities,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,12078,Community and Government > Housing Authority
accommodation,Accommodation & Lodging,Accommodation & Lodging,Travel and Transportation,19009,Travel and Transportation > Lodging
fish_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
pumpkin_patch,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
csa_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
pig_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
urban_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
farming_services,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,11002,Business and Professional Services > Agriculture and Forestry Service
fish_farms_and_hatcheries,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
orchard,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
ranch,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
agriculture,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
grain_elevators,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
b2b_farms,Agriculture & Farming,Business-to-Business,Business and Professional Services,11182,Business and Professional Services > Business Service
poultry_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
dairy_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
agricultural_service,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,11002,Business and Professional Services > Agriculture and Forestry Service
agriculture_association,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,12082,Community and Government > Organization
poultry_farming,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
b2b_farming,Agriculture & Farming,Business-to-Business,Business and Professional Services,11182,Business and Professional Services > Business Service
farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,17076,Retail > Food and Beverage Retail > Liquor Store
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
produce_wholesaler,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,17057,Retail > Food and Beverage Retail
pick_your_own_farm,Agriculture & Farming,Agriculture & Farming,Landmarks and Outdoors,16014,Landmarks and Outdoors > Farm
haunted_house,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10001,Arts and Entertainment > Amusement Park
clown,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10035,Arts and Entertainment > Performing Arts Venue
agricultural_cooperatives,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12082,Community and Government > Organization
