OM_CATEGORY_LABEL,OM_SIMPLIFIED_CATEGORY,OM_UPDATED_CATEGORY,FSQ_CATEGORY_ID,FSQ_CATEGORY_LABEL,FSQ_CATEGORY_PRIMARY,FSQ_CATEGORY_SECONDARY,MATCH_SCORE,MATCHED_TEXT,ALTERNATES
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,12122,Community and Government > Residential Building > Apartment or Condo,Community and Government , Residential Building ,85.5,community and government residential building apartment or condo,Community and Government > Residential Building > Apartment or Condo (ID 12122) [85.5]; Community and Government > Residential Building (ID 12094) [54.0]; Community and Government > Residential Building > Home (private) (ID 12123) [54.0]; Travel and Transportation > Lodging > Vacation Rental (ID 19019) [53.333333333333336]; Community and Government > Housing Development (ID 12079) [51.300000000000004]
apartments,Accommodation & Lodging,Accommodation & Lodging,12122,Community and Government > Residential Building > Apartment or Condo,Community and Government , Residential Building ,85.26315789473685,apartment or condo,Community and Government > Residential Building > Apartment or Condo (ID 12122) [85.26315789473685]; Community and Government > Housing Development (ID 12079) [60.00000000000001]; Community and Government > Residential Building (ID 12094) [54.0]; Community and Government > Residential Building > Home (private) (ID 12123) [54.0]; Travel and Transportation > Lodging > Vacation Rental (ID 19019) [48.857142857142854]
cottage,Accommodation & Lodging,Accommodation & Lodging,19014,Travel and Transportation > Lodging > Hotel,Travel and Transportation , Lodging ,50.0,hotel,Travel and Transportation > Lodging > Hotel (ID 19014) [50.0]; Travel and Transportation > Lodging > Lodge (ID 19016) [50.0]; Travel and Transportation > Lodging > Motel (ID 19017) [50.0]; Travel and Transportation > Lodging > Resort (ID 19018) [48.857142857142854]; Travel and Transportation > Lodging > Hostel (ID 19013) [46.15384615384615]
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,12078,Community and Government > Housing Authority,Community and Government , Housing Authority,85.5,community and government housing authority,Community and Government > Housing Authority (ID 12078) [85.5]; Community and Government > Housing Development (ID 12079) [85.5]; Travel and Transportation > Lodging > Inn (ID 19015) [60.00000000000001]; Travel and Transportation > Lodging (ID 19009) [55.38461538461539]; Community and Government > Organization > Club House (ID 12084) [54.0]
houseboat,Accommodation & Lodging,Accommodation & Lodging,19013,Travel and Transportation > Lodging > Hostel,Travel and Transportation , Lodging ,65.45454545454547,hostel,Travel and Transportation > Lodging > Hostel (ID 19013) [65.45454545454547]; Community and Government > Organization > Club House (ID 12084) [64.28571428571429]; Travel and Transportation > Lodging > Boarding House (ID 19011) [64.28571428571429]; Community and Government > Housing Authority (ID 12078) [55.38461538461539]; Community and Government > Housing Development (ID 12079) [55.38461538461539]
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,19013,Travel and Transportation > Lodging > Hostel,Travel and Transportation , Lodging ,60.00000000000001,hostel,Travel and Transportation > Lodging > Hostel (ID 19013) [60.00000000000001]; Community and Government > Organization (ID 12082) [56.84210526315789]; Travel and Transportation > Lodging > Boarding House (ID 19011) [54.96428571428571]; Travel and Transportation > Lodging > Cabin (ID 19012) [54.0]; Travel and Transportation > Lodging > Motel (ID 19017) [54.0]
guest_house,Accommodation & Lodging,Accommodation & Lodging,12084,Community and Government > Organization > Club House,Community and Government , Organization ,85.5,community and government organization club house,Community and Government > Organization > Club House (ID 12084) [85.5]; Travel and Transportation > Lodging > Boarding House (ID 19011) [85.5]; Travel and Transportation > Lodging > Hostel (ID 19013) [65.45454545454547]; Community and Government > Housing Authority (ID 12078) [57.27272727272727]; Community and Government > Housing Development (ID 12079) [57.27272727272727]
pension,Accommodation & Lodging,Financial Services,12120,Community and Government > Organization > Labor Union,Community and Government , Organization ,65.45454545454547,community and government organization labor union,Community and Government > Organization > Labor Union (ID 12120) [65.45454545454547]; Community and Government > Organization > Environmental Organization (ID 12085) [64.28571428571429]; Travel and Transportation > Lodging > Inn (ID 19015) [60.00000000000001]; Community and Government > Organization (ID 12082) [54.0]; Community and Government > Organization > Non-Profit Organization (ID 12086) [54.0]
service_apartments,Accommodation & Lodging,Accommodation & Lodging,12122,Community and Government > Residential Building > Apartment or Condo,Community and Government , Residential Building ,58.05555555555556,apartment or condo,Community and Government > Residential Building > Apartment or Condo (ID 12122) [58.05555555555556]; Community and Government > Organization > Social Services Organization (ID 12087) [57.0]; Community and Government > Housing Development (ID 12079) [51.42857142857142]; Travel and Transportation > RV Park (ID 19025) [51.42857142857142]; Community and Government > Residential Building > Home (private) (ID 12123) [45.0]
condominium,Accommodation & Lodging,Accommodation & Lodging,19015,Travel and Transportation > Lodging > Inn,Travel and Transportation , Lodging ,60.00000000000001,inn,Travel and Transportation > Lodging > Inn (ID 19015) [60.00000000000001]; Community and Government > Residential Building > Apartment or Condo (ID 12122) [56.25]; Travel and Transportation > Lodging (ID 19009) [51.42857142857142]; Community and Government > Housing Authority (ID 12078) [50.0]; Community and Government > Housing Development (ID 12079) [50.0]
