OM_CATEGORY_LABEL,FSQ_BEST_LABEL,FSQ_BEST_ID,FSQ_BEST_PRIMARY,FSQ_BEST_SECONDARY,BEST_SCORE,FSQ_ALT1_LABEL,ALT1_ID,ALT1_SCORE,FSQ_ALT2_LABEL,ALT2_ID,ALT2_SCORE,NEEDS_REVIEW
apartment_agent,Community and Government > Residential Building > Apartment or Condo,12122,Community and Government , Residential Building ,73.7,Retail > Department Store,17033,59.1,Event > Entertainment Event,14003,58.4,TRUE
apartments,Retail > Department Store,17033,Retail , Department Store,72.4,Community and Government > Residential Building > Apartment or Condo,12122,62.2,Community and Government > Government Building > Government Department,12069,60.1,TRUE
hotel_supply_service,Business and Professional Services > Technology Business > IT Service,11108,Business and Professional Services , Technology Business ,67.6,Business and Professional Services > Pet Service,11133,66.4,Retail > Office Supply Store,17102,66.2,TRUE
cottage,Retail > Costume Store,17031,Retail , Costume Store,50.9,Sports and Recreation > Baseball > Batting Cages,18005,46.0,Travel and Transportation > Moving Target,19059,44.7,TRUE
low_income_housing,Business and Professional Services > Office > Corporate Housing Agency,11127,Business and Professional Services , Office ,60.0,Community and Government > Housing Authority,12078,59.6,Community and Government > Housing Development,12079,59.5,TRUE
cabinet_sales_service,Business and Professional Services > Business Service,11182,Business and Professional Services , Business Service,70.7,Business and Professional Services > Pet Service,11133,69.9,Business and Professional Services > Technology Business > IT Service,11108,69.7,TRUE
houseboat,Retail > Auction House,17004,Retail , Auction House,54.4,Arts and Entertainment > Performing Arts Venue > Opera House,10042,54.2,Landmarks and Outdoors > Lighthouse,16024,53.4,TRUE
self_catering_accommodation,Event > Marketplace > Street Food Gathering,14013,Event , Marketplace ,51.1,Community and Government > Education,12009,50.2,Community and Government > Organization > Veterans' Organization,12088,49.6,TRUE
guest_house,Business and Professional Services > Health and Beauty Service > Bath House,11063,Business and Professional Services , Health and Beauty Service ,69.3,Travel and Transportation > Lodging > Boarding House,19011,68.6,Community and Government > Organization > Club House,12084,68.2,TRUE
pension,Event > Convention,14002,Event , Convention,60.7,Dining and Drinking > Restaurant > Greek Restaurant > Kafenio,13182,50.2,Community and Government > Prison,12090,50.0,TRUE
service_apartments,Business and Professional Services > Technology Business > IT Service,11108,Business and Professional Services , Technology Business ,67.8,Business and Professional Services > Pet Service,11133,67.4,Business and Professional Services > Rental Service,11156,66.4,TRUE
condominium,Community and Government > Dump,12008,Community and Government , Dump,47.9,Community and Government,12000,46.2,Arts and Entertainment > Stadium,10051,45.4,TRUE
housing_authorities,Community and Government > Housing Authority,12078,Community and Government , Housing Authority,79.6,Business and Professional Services > Office > Corporate Housing Agency,11127,58.2,Health and Medicine > Nursing Home,15022,57.4,TRUE
accommodation,Community and Government > Education,12009,Community and Government , Education,57.8,Community and Government > Education > Adult Education,12010,52.3,Business and Professional Services > Telecommunication Service,11170,51.4,TRUE
pumpkin_patch,Retail > Shopping Plaza,17115,Retail , Shopping Plaza,52.8,Retail > Shopping Mall,17114,47.3,Sports and Recreation > Rugby > Rugby Pitch,18050,45.9,TRUE
urban_farm,Landmarks and Outdoors > Farm,16014,Landmarks and Outdoors , Farm,77.6,Landmarks and Outdoors > Park > Urban Park,16039,76.0,Dining and Drinking > Restaurant > Armenian Restaurant,13071,53.2,TRUE
farming_services,Business and Professional Services > Pet Service > Pet Grooming Service,11134,Business and Professional Services , Pet Service ,75.7,Business and Professional Services > Logging Service,11116,73.7,Business and Professional Services > Pet Service > Pet Sitting and Boarding Service,11135,72.6,TRUE
fish_farms_and_hatcheries,Arts and Entertainment,10000,Arts and Entertainment,,58.6,Retail > Arts and Crafts Store,17003,58.3,Dining and Drinking > Restaurant > Fish and Chips Shop,13051,55.1,TRUE
orchard,Arts and Entertainment > Arcade,10003,Arts and Entertainment , Arcade,49.8,Community and Government > Organization > Charity,12083,48.4,Retail > Board Store,17017,46.6,TRUE
ranch,Landmarks and Outdoors > Beach,16003,Landmarks and Outdoors , Beach,53.5,Landmarks and Outdoors > Boat Launch,16055,53.5,Community and Government > Spiritual Center > Church,12101,48.9,TRUE
grain_elevators,Sports and Recreation > Personal Trainer,18038,Sports and Recreation , Personal Trainer,52.9,Travel and Transportation > Platform,19022,51.2,Business and Professional Services > Legal Service > Immigration Attorney,11113,50.1,TRUE
b2b_farms,Landmarks and Outdoors > Farm,16014,Landmarks and Outdoors , Farm,59.9,Retail > Food and Beverage Retail > Farmers Market,17065,47.1,Arts and Entertainment > Fair,10017,44.9,TRUE
poultry_farm,Landmarks and Outdoors > Farm,16014,Landmarks and Outdoors , Farm,75.0,Event > Marketplace > Trade Fair,14014,51.3,Retail > Outlet Mall,17104,51.0,TRUE
dairy_farm,Landmarks and Outdoors > Farm,16014,Landmarks and Outdoors , Farm,77.6,Retail > Food and Beverage Retail > Dairy Store,17064,68.8,Arts and Entertainment > Fair,10017,48.5,TRUE
agricultural_service,Business and Professional Services > Technology Business > IT Service,11108,Business and Professional Services , Technology Business ,68.7,Business and Professional Services > Rental Service,11156,66.7,Business and Professional Services > Legal Service,11111,66.4,TRUE
agriculture_association,Business and Professional Services > Agriculture and Forestry Service,11002,Business and Professional Services , Agriculture and Forestry Service,66.5,Travel and Transportation > Transportation Service > Public Transportation,19054,53.4,Travel and Transportation > Transport Hub > Rail Station,19047,53.0,TRUE
poultry_farming,Retail > Framing Store,17081,Retail , Framing Store,58.9,Landmarks and Outdoors > Farm,16014,58.3,Travel and Transportation > Parking,19020,51.5,TRUE
b2b_farming,Landmarks and Outdoors > Farm,16014,Landmarks and Outdoors , Farm,55.0,Retail > Framing Store,17081,52.0,Travel and Transportation > Parking,19020,50.8,TRUE
beer_wine_and_spirits,Dining and Drinking > Bar > Wine Bar,13025,Dining and Drinking , Bar ,64.5,Dining and Drinking > Bar > Beer Bar,13006,61.1,Retail > Food and Beverage Retail > Wine Store,17080,57.6,TRUE
apiaries_and_beekeepers,Arts and Entertainment,10000,Arts and Entertainment,,51.3,Sports and Recreation > Snow Sports > Ski Resort and Area,18061,51.2,Retail > Automotive Retail > Car Parts and Accessories,17011,50.6,TRUE
