OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,NAICS_Code,NAICS_Description
campground,Accommodation & Lodging,Accommodation & Lodging,721211,RV (Recreational Vehicle) Parks and Campgrounds
beach_resort,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,531210,Offices of Real Estate Agents and Brokers
apartments,Accommodation & Lodging,Accommodation & Lodging,531110,Lessor of Residential Buildings and Dwellings
hotel_supply_service,Accommodation & Lodging,Business-to-Business,425120,Wholesale Trade Agents and Brokers
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,721191,Bed-and-Breakfast Inns
resort,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging,531210,Offices of Real Estate Agents and Brokers
motel,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
cottage,Accommodation & Lodging,Accommodation & Lodging,721199,All Other Traveler Accommodation
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,531110,Lessor of Residential Buildings and Dwellings
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors,238350,Finish Carpentry Contractors
houseboat,Accommodation & Lodging,Accommodation & Lodging,721199,All Other Traveler Accommodation
inn,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,721199,All Other Traveler Accommodation
guest_house,Accommodation & Lodging,Accommodation & Lodging,721191,Bed-and-Breakfast Inns
pension,Accommodation & Lodging,Financial Services,525110,Pension Funds
rv_park,Accommodation & Lodging,Accommodation & Lodging,721211,RV (Recreational Vehicle) Parks and Campgrounds
cabin,Accommodation & Lodging,Accommodation & Lodging,721199,All Other Traveler Accommodation
hostel,Accommodation & Lodging,Accommodation & Lodging,721199,All Other Traveler Accommodation
hotel,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
service_apartments,Accommodation & Lodging,Accommodation & Lodging,721199,All Other Traveler Accommodation
condominium,Accommodation & Lodging,Accommodation & Lodging,531110,Lessor of Residential Buildings and Dwellings
lodge,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
housing_authorities,Accommodation & Lodging,Accommodation & Lodging,925110,Administration of Housing Programs
accommodation,Accommodation & Lodging,Accommodation & Lodging,721110,Hotels (except Casino Hotels) and Motels
fish_farm,Agriculture & Farming,Agriculture & Farming,112511,Finfish Farming and Fish Hatcheries
pumpkin_patch,Agriculture & Farming,Agriculture & Farming,111219,Other Vegetable (except Potato) and Melon Farming
csa_farm,Agriculture & Farming,Agriculture & Farming,111998,All Other Miscellaneous Crop Farming
pig_farm,Agriculture & Farming,Agriculture & Farming,112210,Hog and Pig Farming
urban_farm,Agriculture & Farming,Agriculture & Farming,111998,All Other Miscellaneous Crop Farming
farming_services,Agriculture & Farming,Agriculture & Farming,115116,Farm Management Services
fish_farms_and_hatcheries,Agriculture & Farming,Agriculture & Farming,112511,Finfish Farming and Fish Hatcheries
orchard,Agriculture & Farming,Agriculture & Farming,111331,Apple Orchards
ranch,Agriculture & Farming,Agriculture & Farming,112111,Beef Cattle Ranching and Farming
agriculture,Agriculture & Farming,Agriculture & Farming,111998,All Other Miscellaneous Crop Farming
grain_elevators,Agriculture & Farming,Agriculture & Farming,493130,Farm Product Warehousing and Storage
b2b_farms,Agriculture & Farming,Business-to-Business,111998,All Other Miscellaneous Crop Farming
poultry_farm,Agriculture & Farming,Agriculture & Farming,112320,Broilers and Other Meat Type Chicken Production
dairy_farm,Agriculture & Farming,Agriculture & Farming,112120,Dairy Cattle and Milk Production
agricultural_service,Agriculture & Farming,Agriculture & Farming,115116,Farm Management Services
agriculture_association,Agriculture & Farming,Agriculture & Farming,813910,Business Associations
poultry_farming,Agriculture & Farming,Agriculture & Farming,112320,Broilers and Other Meat Type Chicken Production
b2b_farming,Agriculture & Farming,Business-to-Business,115116,Farm Management Services
farm,Agriculture & Farming,Agriculture & Farming,111998,All Other Miscellaneous Crop Farming
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming,445310,"Beer, Wine, and Liquor Stores"
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming,112910,Apiculture
produce_wholesaler,Agriculture & Farming,Agriculture & Farming,424480,Fresh Fruit and Vegetable Merchant Wholesalers
pick_your_own_farm,Agriculture & Farming,Agriculture & Farming,111998,All Other Miscellaneous Crop Farming
haunted_house,Arts & Entertainment,Arts & Entertainment,713110,Amusement and Theme Parks
clown,Arts & Entertainment,Arts & Entertainment,711510,"Independent Artists, Writers, and Performers"
agricultural_cooperatives,Arts & Entertainment,Arts & Entertainment,713990,All Other Amusement and Recreation Industries
zoo,Arts & Entertainment,Arts & Entertainment,712130,Zoos and Botanical Gardens
studio_taping,Arts & Entertainment,Arts & Entertainment,512110,Motion Picture and Video Production
