OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_ID,FSQ_Category_Label,FSQ_Category_Primary,FSQ_Category_Secondary,Match_Score,Match_Quality
campground,Accommodation & Lodging,Accommodation & Lodging,16008,Landmarks and Outdoors > Campground,Landmarks and Outdoors , Campground,1.0,High
beach_resort,Accommodation & Lodging,Accommodation & Lodging,16003,Landmarks and Outdoors > Beach,Landmarks and Outdoors , Beach,0.9,High
apartment_agent,Accommodation & Lodging,Accommodation & Lodging,17033,Retail > Department Store,Retail , Department Store,0.645,Medium
apartments,Accommodation & Lodging,Accommodation & Lodging,17033,Retail > Department Store,Retail , Department Store,0.692,Medium
hotel_supply_service,Accommodation & Lodging,Business-to-Business,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,0.667,Medium
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,13028,Dining and Drinking > Breakfast Spot,Dining and Drinking , Breakfast Spot,0.581,Low
resort,Accommodation & Lodging,Accommodation & Lodging,16015,Landmarks and Outdoors > Forest,Landmarks and Outdoors , Forest,0.667,Medium
vacation_rental_agents,Accommodation & Lodging,Accommodation & Lodging,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.625,Medium
motel,Accommodation & Lodging,Accommodation & Lodging,16050,Landmarks and Outdoors > Tunnel,Landmarks and Outdoors , Tunnel,0.545,Low
cottage,Accommodation & Lodging,Accommodation & Lodging,16012,Landmarks and Outdoors > Cave,Landmarks and Outdoors , Cave,0.545,Low
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,12064,Community and Government > Government Building,Community and Government , Government Building,0.486,Low
cabinet_sales_service,Accommodation & Lodging,Construction & Contractors,11182,Business and Professional Services > Business Service,Business and Professional Services , Business Service,0.757,Medium
houseboat,Accommodation & Lodging,Accommodation & Lodging,11174,Business and Professional Services > Warehouse,Business and Professional Services , Warehouse,0.556,Low
inn,Accommodation & Lodging,Accommodation & Lodging,14008,Event > Line,Event , Line,0.571,Low
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,19006,Travel and Transportation > Electric Vehicle Charging Station,Travel and Transportation , Electric Vehicle Charging Station,0.5,Low
guest_house,Accommodation & Lodging,Accommodation & Lodging,16024,Landmarks and Outdoors > Lighthouse,Landmarks and Outdoors , Lighthouse,0.667,Medium
pension,Accommodation & Lodging,Financial Services,12090,Community and Government > Prison,Community and Government , Prison,0.615,Medium
rv_park,Accommodation & Lodging,Accommodation & Lodging,19025,Travel and Transportation > RV Park,Travel and Transportation , RV Park,1.0,High
cabin,Accommodation & Lodging,Accommodation & Lodging,10008,Arts and Entertainment > Casino,Arts and Entertainment , Casino,0.727,Medium
hostel,Accommodation & Lodging,Accommodation & Lodging,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.714,Medium
hotel,Accommodation & Lodging,Accommodation & Lodging,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.615,Medium
service_apartments,Accommodation & Lodging,Accommodation & Lodging,17033,Retail > Department Store,Retail , Department Store,0.588,Low
condominium,Accommodation & Lodging,Accommodation & Lodging,14002,Event > Convention,Event , Convention,0.476,Low
lodge,Accommodation & Lodging,Accommodation & Lodging,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.667,Medium
housing_authorities,Accommodation & Lodging,Accommodation & Lodging,12078,Community and Government > Housing Authority,Community and Government , Housing Authority,0.889,High
accommodation,Accommodation & Lodging,Accommodation & Lodging,12009,Community and Government > Education,Community and Government , Education,0.545,Low
fish_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
pumpkin_patch,Agriculture & Farming,Agriculture & Farming,12116,Community and Government > Polling Place,Community and Government , Polling Place,0.538,Low
csa_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
pig_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
urban_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
farming_services,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
fish_farms_and_hatcheries,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
orchard,Agriculture & Farming,Agriculture & Farming,10003,Arts and Entertainment > Arcade,Arts and Entertainment , Arcade,0.615,Medium
ranch,Agriculture & Farming,Agriculture & Farming,16003,Landmarks and Outdoors > Beach,Landmarks and Outdoors , Beach,0.6,Medium
agriculture,Agriculture & Farming,Agriculture & Farming,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,0.9,High
grain_elevators,Agriculture & Farming,Agriculture & Farming,17081,Retail > Framing Store,Retail , Framing Store,0.571,Low
b2b_farms,Agriculture & Farming,Business-to-Business,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
poultry_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
dairy_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
agricultural_service,Agriculture & Farming,Agriculture & Farming,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,0.731,Medium
agriculture_association,Agriculture & Farming,Agriculture & Farming,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,0.582,Low
poultry_farming,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
b2b_farming,Agriculture & Farming,Business-to-Business,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,1.0,High
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.549,Low
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming,10000,Arts and Entertainment,Arts and Entertainment,,0.489,Low
produce_wholesaler,Agriculture & Farming,Agriculture & Farming,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.9,High
pick_your_own_farm,Agriculture & Farming,Agriculture & Farming,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
haunted_house,Arts & Entertainment,Arts & Entertainment,17004,Retail > Auction House,Retail , Auction House,0.692,Medium
clown,Arts & Entertainment,Arts & Entertainment,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.5,Low
agricultural_cooperatives,Arts & Entertainment,Arts & Entertainment,12005,Community and Government > Cultural Center,Community and Government , Cultural Center,0.6,Medium
zoo,Arts & Entertainment,Arts & Entertainment,10056,Arts and Entertainment > Zoo,Arts and Entertainment , Zoo,1.0,High
studio_taping,Arts & Entertainment,Arts & Entertainment,11144,Business and Professional Services > Radio Station,Business and Professional Services , Radio Station,0.615,Medium
virtual_reality_center,Arts & Entertainment,Arts & Entertainment,12098,Community and Government > Spiritual Center,Community and Government , Spiritual Center,0.684,Medium
history_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
performing_arts,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.9,High
circus,Arts & Entertainment,Arts & Entertainment,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,1.0,High
sports_museum,Arts & Entertainment,Arts & Entertainment,10027,Arts and Entertainment > Museum,Arts and Entertainment , Museum,0.9,High
aquarium,Arts & Entertainment,Arts & Entertainment,10002,Arts and Entertainment > Aquarium,Arts and Entertainment , Aquarium,1.0,High
agricultural_production,Arts & Entertainment,Arts & Entertainment,12005,Community and Government > Cultural Center,Community and Government , Cultural Center,0.526,Low
music_festivals_and_organizations,Arts & Entertainment,Arts & Entertainment,12082,Community and Government > Organization,Community and Government , Organization,0.9,High
art_school,Arts & Entertainment,Arts & Entertainment,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.727,Medium
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.5,Low
trade_fair,Arts & Entertainment,Arts & Entertainment,10017,Arts and Entertainment > Fair,Arts and Entertainment , Fair,0.9,High
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,11000,Business and Professional Services,Business and Professional Services,,0.5,Low
