category_label,category_primary
accommodation,Accommodation & Lodging
apartment_agent,Real Estate
apartments,Real Estate
beach_resort,Accommodation & Lodging
bed_and_breakfast,Accommodation & Lodging
cabin,Accommodation & Lodging
campground,Accommodation & Lodging
condominium,Accommodation & Lodging
cottage,Accommodation & Lodging
guest_house,Accommodation & Lodging
hostel,Accommodation & Lodging
hotel,Accommodation & Lodging
houseboat,Accommodation & Lodging
housing_authorities,Accommodation & Lodging
inn,Accommodation & Lodging
lodge,Accommodation & Lodging
low_income_housing,Community & Social Services
motel,Accommodation & Lodging
resort,Accommodation & Lodging
rv_park,Accommodation & Lodging
self_catering_accommodation,Accommodation & Lodging
service_apartments,Real Estate
vacation_rental_agents,Accommodation & Lodging
agricultural_service,Agriculture & Farming
agriculture,Agriculture & Farming
agriculture_association,Agriculture & Farming
apiaries_and_beekeepers,Agriculture & Farming
beer_wine_and_spirits,Agriculture & Farming
csa_farm,Agriculture & Farming
dairy_farm,Agriculture & Farming
farm,Agriculture & Farming
farming_services,Agriculture & Farming
fish_farm,Agriculture & Farming
fish_farms_and_hatcheries,Agriculture & Farming
grain_elevators,Agriculture & Farming
orchard,Agriculture & Farming
pick_your_own_farm,Agriculture & Farming
pig_farm,Agriculture & Farming
poultry_farm,Agriculture & Farming
poultry_farming,Agriculture & Farming
produce_wholesaler,Agriculture & Farming
pumpkin_patch,Agriculture & Farming
ranch,Agriculture & Farming
urban_farm,Agriculture & Farming
adult_entertainment,Arts & Entertainment
agricultural_cooperatives,Agriculture & Farming
agricultural_production,Agriculture & Farming
amusement_park,Arts & Entertainment
animation_studio,Arts & Entertainment
aquarium,Arts & Entertainment
aquarium_services,Arts & Entertainment
arcade,Arts & Entertainment
art_gallery,Arts & Entertainment
art_museum,Arts & Entertainment
art_school,Arts & Entertainment
art_tours,Arts & Entertainment
arts_and_entertainment,Arts & Entertainment
asian_art_museum,Arts & Entertainment
audio_visual_production_and_design,Arts & Entertainment
aviation_museum,Arts & Entertainment
bingo_hall,Arts & Entertainment
botanical_garden,Arts & Entertainment
broadcasting_media_production,Arts & Entertainment
casino,Arts & Entertainment
childrens_museum,Arts & Entertainment
choir,Arts & Entertainment
cinema,Arts & Entertainment
circus,Arts & Entertainment
circus_school,Arts & Entertainment
civilization_museum,Arts & Entertainment
clown,Arts & Entertainment
comedy_club,Arts & Entertainment
commissioned_artist,Arts & Entertainment
community_museum,Arts & Entertainment
computer_museum,Arts & Entertainment
contemporary_art_museum,Arts & Entertainment
corporate_entertainment_services,Arts & Entertainment
costume_museum,Arts & Entertainment
crops_production,Agriculture & Farming
cultural_center,Arts & Entertainment
dance_club,Arts & Entertainment
dance_school,Arts & Entertainment
decorative_arts_museum,Arts & Entertainment
design_museum,Arts & Entertainment
dinner_theater,Arts & Entertainment
drama_school,Arts & Entertainment
drive_in_theater,Arts & Entertainment
entertainment_law,Arts & Entertainment
escape_rooms,Arts & Entertainment
fair,Arts & Entertainment
festival,Arts & Entertainment
film_festivals_and_organizations,Arts & Entertainment
general_festivals,Arts & Entertainment
grain_production,Agriculture & Farming
haunted_house,Arts & Entertainment
henna_artist,Arts & Entertainment
history_museum,Arts & Entertainment
housing_cooperative,Arts & Entertainment
karaoke,Arts & Entertainment
karaoke_rental,Arts & Entertainment
magician,Arts & Entertainment
military_museum,Arts & Entertainment
modern_art_museum,Arts & Entertainment
movie_television_studio,Arts & Entertainment
museum,Arts & Entertainment
music_festivals_and_organizations,Arts & Entertainment
music_production,Arts & Entertainment
music_production_services,Arts & Entertainment
music_venue,Arts & Entertainment
musical_band_orchestras_and_symphonies,Arts & Entertainment
national_museum,Arts & Entertainment
observatory,Arts & Entertainment
opera_and_ballet,Arts & Entertainment
orchards_production,Arts & Entertainment
outdoor_movies,Arts & Entertainment
performing_arts,Arts & Entertainment
petting_zoo,Arts & Entertainment
photography_museum,Arts & Entertainment
planetarium,Arts & Entertainment
recording_and_rehearsal_studio,Arts & Entertainment
rodeo,Arts & Entertainment
science_museum,Arts & Entertainment
sports_museum,Arts & Entertainment
state_museum,Arts & Entertainment
studio_taping,Arts & Entertainment
theaters_and_performance_venues,Arts & Entertainment
theatre,Arts & Entertainment
theatrical_productions,Arts & Entertainment
topic_concert_venue,Arts & Entertainment
trade_fair,Arts & Entertainment
video_film_production,Arts & Entertainment
virtual_reality_center,Arts & Entertainment
water_park,Arts & Entertainment
zoo,Arts & Entertainment
event_photography,Arts & Entertainment
jazz_and_blues,Arts & Entertainment
music_critic,Arts & Entertainment
musician,Arts & Entertainment
session_photography,Arts & Entertainment
street_art,Arts & Entertainment
aircraft_dealer,Automotive
aircraft_repair,Automotive
appliance_repair_service,Automotive
art_restoration,Arts & Entertainment
art_restoration_service,Arts & Entertainment
auto_company,Automotive
auto_customization,Automotive
auto_detailing,Automotive
auto_electrical_repair,Automotive
auto_glass_service,Automotive
auto_insurance,Automotive
auto_loan_provider,Automotive
auto_manufacturers_and_distributors,Automotive
auto_restoration_services,Automotive
auto_security,Automotive
auto_upholstery,Automotive
automation_services,Automotive
automobile_leasing,Automotive
automobile_registration_service,Automotive
automotive,Automotive
automotive_consultant,Automotive
automotive_dealer,Automotive
automotive_parts_and_accessories,Automotive
automotive_repair,Automotive
automotive_services_and_repair,Automotive
automotive_storage_facility,Automotive
automotive_wheel_polishing_service,Automotive
b2b_tractor_dealers,Automotive
bathtub_and_sink_repairs,Automotive
bike_repair_maintenance,Automotive
boat_dealer,Automotive
boat_service_and_repair,Automotive
brake_service_and_repair,Automotive
cable_car_service,Automotive
car_auction,Automotive
car_broker,Automotive
car_buyer,Automotive
car_dealer,Automotive
car_inspection,Automotive
car_rental_agency,Automotive
car_sharing,Automotive
car_stereo_installation,Automotive
car_wash,Automotive
car_window_tinting,Automotive
clock_repair_service,Automotive
coin_dealers,Automotive
commercial_vehicle_dealer,Automotive
damage_restoration,Automotive
department_of_motor_vehicles,Automotive
diamond_dealer,Retail & Shopping
emissions_inspection,Automotive
engine_repair_service,Automotive
exhaust_and_muffler_repair,Automotive
farm_equipment_repair_service,Professional Services
fire_and_water_damage_restoration,Automotive
forklift_dealer,Automotive
foundation_repair,Professional Services
fuel_dock,Automotive
furniture_repair,Professional Services
furniture_reupholstery,Professional Services
game_truck_rental,Automotive
gas_station,Retail & Shopping
generator_installation_repair,Automotive
golf_cart_dealer,Automotive
home_automation,Professional Services
home_window_tinting,Automotive
hybrid_car_repair,Automotive
hydraulic_repair_service,Automotive
inspection_services,Automotive
it_service_and_computer_repair,Technology & IT
jewelry_repair_service,Professional Services
lawn_mower_repair_service,Automotive
livestock_dealers,Other Services
mechanical_engineers,Other Services
media_restoration_service,Professional Services
mobile_dent_repair,Automotive
mobile_home_dealer,Real Estate
mobile_home_repair,Professional Services
mobile_phone_repair,Professional Services
motorcycle_dealer,Automotive
motorcycle_gear,Automotive
motorcycle_manufacturer,Automotive
motorcycle_rentals,Automotive
motorcycle_repair,Automotive
motorsport_vehicle_dealer,Automotive
motorsport_vehicle_repair,Automotive
oil_change_station,Retail & Shopping
recreation_vehicle_repair,Automotive
recreational_vehicle_dealer,Automotive
recreational_vehicle_parts_and_accessories,Automotive
retirement_home,Healthcare & Medical
scooter_dealers,Automotive
shoe_repair,Professional Services
tire_dealer_and_repair,Automotive
towing_service,Automotive
town_car_service,Automotive
trailer_dealer,Automotive
trailer_repair,Automotive
transmission_repair,Automotive
truck_dealer,Automotive
truck_dealer_for_businesses,Automotive
truck_gas_station,Automotive
truck_rentals,Automotive
truck_repair,Automotive
trucks_and_industrial_vehicles,Automotive
used_car_dealer,Automotive
vehicle_shipping,Automotive
vehicle_wrap,Automotive
washer_and_dryer_repair_service,Professional Services
watch_repair_service,Professional Services
water_heater_installation_repair,Professional Services
wheel_and_rim_repair,Automotive
windshield_installation_and_repair,Automotive
qi_gong_studio,Beauty & Wellness
tai_chi_studio,Beauty & Wellness
aerial_fitness_center,Beauty & Wellness
aesthetician,Beauty & Wellness
art_space_rental,Beauty & Wellness
beauty_and_spa,Beauty & Wellness
beauty_salon,Beauty & Wellness
blow_dry_blow_out_service,Beauty & Wellness
boot_camp,Beauty & Wellness
boudoir_photography,Beauty & Wellness
boxing_class,Beauty & Wellness
boxing_club,Beauty & Wellness
boxing_gym,Beauty & Wellness
brazilian_jiu_jitsu_club,Beauty & Wellness
chinese_martial_arts_club,Beauty & Wellness
cosmetic_and_beauty_supplies,Beauty & Wellness
coworking_space,Beauty & Wellness
day_spa,Beauty & Wellness
dietitian,Beauty & Wellness
dog_trainer,Beauty & Wellness
esthetician,Beauty & Wellness
eyebrow_service,Beauty & Wellness
eyelash_service,Beauty & Wellness
fitness_equipment_wholesaler,Beauty & Wellness
fitness_exercise_equipment,Beauty & Wellness
fitness_trainer,Beauty & Wellness
float_spa,Beauty & Wellness
gym,Beauty & Wellness
gymnastics_center,Beauty & Wellness
gymnastics_club,Beauty & Wellness
hair_extensions,Beauty & Wellness
hair_loss_center,Beauty & Wellness
hair_removal,Beauty & Wellness
hair_replacement,Beauty & Wellness
hair_salon,Beauty & Wellness
hair_stylist,Beauty & Wellness
horse_trainer,Pet Services
karate_club,Beauty & Wellness
kickboxing_club,Beauty & Wellness
kids_hair_salon,Beauty & Wellness
laser_hair_removal,Beauty & Wellness
makerspace,Beauty & Wellness
makeup_artist,Beauty & Wellness
martial_arts_club,Beauty & Wellness
massage,Beauty & Wellness
muay_thai_club,Beauty & Wellness
nail_salon,Beauty & Wellness
newspaper_advertising,Beauty & Wellness
nutritionist,Beauty & Wellness
permanent_makeup,Beauty & Wellness
piercing,Beauty & Wellness
pilates_studio,Beauty & Wellness
reiki,Beauty & Wellness
rock_climbing_gym,Beauty & Wellness
sauna,Beauty & Wellness
shared_office_space,Beauty & Wellness
skin_care,Beauty & Wellness
spas,Beauty & Wellness
sports_and_fitness_instruction,Beauty & Wellness
spray_tanning,Beauty & Wellness
sugaring,Beauty & Wellness
taekwondo_club,Beauty & Wellness
tanning_bed,Beauty & Wellness
tanning_salon,Beauty & Wellness
tattoo,Beauty & Wellness
tattoo_and_piercing,Beauty & Wellness
tattoo_removal,Beauty & Wellness
threading_service,Beauty & Wellness
venue_and_event_space,Beauty & Wellness
waxing,Beauty & Wellness
weight_loss_center,Beauty & Wellness
yoga_instructor,Beauty & Wellness
yoga_studio,Beauty & Wellness
cycling_classes,Beauty & Wellness
barre_classes,Beauty & Wellness
hotel_supply_service,Business-to-Business
b2b_farming,Business-to-Business
b2b_autos_and_vehicles,Business-to-Business
b2b_equipment_maintenance_and_repair,Business-to-Business
