om_category,fsq_category_id,fsq_category_name,fsq_category_label,mapping_method,confidence_score,name_similarity,label_similarity,keyword_overlap
general_dentistry,4bf58dd8d48988d177941735,Doctor's Office,Health and Medicine > Physician > Doctor's Office,manual,100.0,,,
hardware_store,4bf58dd8d48988d112951735,Hardware Store,Retail > Hardware Store,manual,100.0,,,
thai_restaurant,4bf58dd8d48988d149941735,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,manual,100.0,,,
baseball_field,4bf58dd8d48988d1e8941735,Baseball Field,Sports and Recreation > Baseball > Baseball Field,automatic,91.0,100.0,44.0,0.5
business_to_business_services,5453de49498eade8af355881,Business Service,Business and Professional Services > Business Service,automatic,83.9,71.0,66.0,0.5
surfing,63be6904847c3692a84b9c21,Surfing,Sports and Recreation > Water Sports > Surfing,automatic,84.0,100.0,26.0,0.25
pet_waste_removal,63be6904847c3692a84b9b4a,Hair Removal Service,Business and Professional Services > Health and Beauty Service > Hair Removal Service,automatic,49.900000000000006,49.0,29.0,0.1
bus_ticket_agency,4f04b08c2fb6e1c99f3db0bd,Travel Agency,Travel and Transportation > Travel Agency,automatic,57.2,60.0,38.0,0.2
metal_detector_services,63be6904847c3692a84b9bc1,Mental Health Service,Health and Medicine > Mental Health Service,automatic,66.55,73.0,52.0,0.0
fire_department,4bf58dd8d48988d1f6941735,Department Store,Retail > Department Store,automatic,87.43333333333332,80.0,76.0,0.3333333333333333
hookah_bar,4bf58dd8d48988d119941735,Hookah Bar,Dining and Drinking > Bar > Hookah Bar,automatic,74.5,75.0,27.0,0.5
business_storage_and_transportation,4d4b7105d754a06379d81259,Travel and Transportation,Travel and Transportation,automatic,85.4,77.0,77.0,0.25
shades_and_blinds,4d4b7105d754a06377d81259,Landmarks and Outdoors,Landmarks and Outdoors,automatic,52.60000000000001,51.0,51.0,0.0
commercial_vehicle_dealer,63be6904847c3692a84b9b85,Commercial Real Estate Developer,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,automatic,59.80000000000001,70.0,34.0,0.1
vocal_coach,52f2ab2ebcbc57f1066b8b50,Cable Car,Travel and Transportation > Cable Car,automatic,50.3,60.0,33.0,0.0
thrift_store,5745c2e4498e11e7bccabdbd,Drugstore,Retail > Drugstore,automatic,53.900000000000006,57.0,53.0,0.0
ice_cream_and_frozen_yoghurt,512e7cae91d4cbb4e5efe0af,Frozen Yogurt Shop,Dining and Drinking > Dessert Shop > Frozen Yogurt Shop,automatic,64.71111111111111,63.0,51.0,0.1111111111111111
electronic_parts_supplier,63be6904847c3692a84b9b78,Paper Supplier,Business and Professional Services > Paper Supplier,automatic,64.62857142857142,62.0,50.0,0.14285714285714285
threads_and_yarns_wholesaler,63be6904847c3692a84b9b98,Wholesaler,Business and Professional Services > Wholesaler,automatic,69.16666666666667,53.0,56.0,0.16666666666666666
episcopal_church,4bf58dd8d48988d132941735,Church,Community and Government > Spiritual Center > Church,automatic,62.166666666666664,55.0,35.0,0.16666666666666666
b2b_scientific_equipment,63be6904847c3692a84b9b8d,Scientific Equipment Supplier,Business and Professional Services > Scientific Equipment Supplier,automatic,77.70714285714286,75.0,49.0,0.2857142857142857
champagne_bar,52e81612bcbc57f1066b7a0e,Champagne Bar,Dining and Drinking > Bar > Champagne Bar,automatic,79.85,82.0,36.0,0.5
gardener,4eb1c0253b7b52c0e1adc2e9,Garden Center,Retail > Garden Center,automatic,77.7,86.0,52.0,0.0
home_theater_systems_stores,4bf58dd8d48988d137941735,Theater,Arts and Entertainment > Performing Arts Venue > Theater,automatic,54.699999999999996,41.0,31.0,0.125
campground,4bf58dd8d48988d1e4941735,Campground,Landmarks and Outdoors > Campground,automatic,89.33333333333333,100.0,44.0,0.3333333333333333
pet_photography,4eb1bdde3b7b55596b4a7490,Photography Lab,Business and Professional Services > Photography Service > Photography Lab,automatic,69.17857142857143,73.0,34.0,0.14285714285714285
mohel,4bf58dd8d48988d1fb931735,Motel,Travel and Transportation > Lodging > Motel,automatic,58.05,80.0,17.0,0.0
maternity_centers,56aa371be4b08b9a8d5734ff,Maternity Clinic,Health and Medicine > Maternity Clinic,automatic,67.65,73.0,44.0,0.2
emissions_inspection,63be6904847c3692a84b9b57,Home Inspection,Business and Professional Services > Home Improvement Service > Home Inspection,automatic,64.45,69.0,38.0,0.125
kiosk,55a59bace4b013909087cb21,Kaiseki Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Kaiseki Restaurant,automatic,45.1,67.0,9.0,0.0
b2b_forklift_dealers,5032833091d4c4b30a586d60,Motorcycle Dealership,Retail > Automotive Retail > Motorcycle Dealership,automatic,49.8,54.0,37.0,0.0
tabletop_games,4bf58dd8d48988d10b951735,Video Games Store,Retail > Computers and Electronics Retail > Video Games Store,automatic,57.61666666666667,64.0,35.0,0.16666666666666666
farm_equipment_and_supply,63be6904847c3692a84b9b68,Industrial Equipment Supplier,Business and Professional Services > Industrial Equipment Supplier,automatic,62.599999999999994,63.0,42.0,0.125
undersea_hyperbaric_medicine,63be6904847c3692a84b9bb9,Health and Medicine,Health and Medicine,automatic,60.900000000000006,55.0,55.0,0.25
social_media_company,63be6904847c3692a84b9b74,Mobile Company,Business and Professional Services > Mobile Company,automatic,63.12857142857143,71.0,45.0,0.14285714285714285
science_schools,4bf58dd8d48988d191941735,Science Museum,Arts and Entertainment > Museum > Science Museum,automatic,56.45,62.0,29.0,0.2
books_mags_music_and_video,4bf58dd8d48988d126951735,Video Store,Retail > Video Store,automatic,60.699999999999996,32.0,45.0,0.2
gemstone_and_mineral,63be6904847c3692a84b9bb9,Health and Medicine,Health and Medicine,automatic,56.60000000000001,56.0,56.0,0.0
appellate_practice_lawyers,63be6904847c3692a84b9b25,Ticket Seller,Arts and Entertainment > Ticket Seller,automatic,46.9,41.0,44.0,0.0
propane_supplier,63be6904847c3692a84b9b78,Paper Supplier,Business and Professional Services > Paper Supplier,automatic,72.21666666666667,80.0,45.0,0.16666666666666666
infectious_disease_specialist,63be6904847c3692a84b9c04,Equestrian Facility,Sports and Recreation > Equestrian Facility,automatic,45.4,46.0,44.0,0.0
transport_interchange,63be6904847c3692a84b9c28,Transport Hub,Travel and Transportation > Transport Hub,automatic,66.65,65.0,48.0,0.2
aquatic_pet_store,63be6904847c3692a84b9c0f,Racquet Sports,Sports and Recreation > Racquet Sports,automatic,51.599999999999994,58.0,40.0,0.0
dam,5fac018b99ce226e27fe7573,Dam,Landmarks and Outdoors > Dam,automatic,83.08333333333333,100.0,19.0,0.3333333333333333
pentecostal_church,4bf58dd8d48988d132941735,Church,Community and Government > Spiritual Center > Church,automatic,63.516666666666666,50.0,40.0,0.16666666666666666
halal_restaurant,4bf58dd8d48988d1c4941735,Restaurant,Dining and Drinking > Restaurant > Restaurant,automatic,76.8,77.0,48.0,0.25
cardio_classes,63be6904847c3692a84b9bc8,Cardiologist,Health and Medicine > Physician > Cardiologist,automatic,50.65,62.0,27.0,0.0
eyelash_service,63be6904847c3692a84b9bc1,Mental Health Service,Health and Medicine > Mental Health Service,automatic,64.7,67.0,45.0,0.2
fish_farm,4bf58dd8d48988d15b941735,Farm,Landmarks and Outdoors > Farm,automatic,67.25,62.0,32.0,0.25
irish_restaurant,4bf58dd8d48988d1c4941735,Restaurant,Dining and Drinking > Restaurant > Restaurant,automatic,79.7,77.0,56.0,0.25
brasserie,57558b36e4b065ecebd306b0,Brasserie,Dining and Drinking > Restaurant > French Restaurant > Brasserie,automatic,83.25,100.0,25.0,0.2
church_cathedral,4bf58dd8d48988d132941735,Church,Community and Government > Spiritual Center > Church,automatic,57.61666666666667,55.0,24.0,0.16666666666666666
haunted_house,63be6904847c3692a84b9be2,Auction House,Retail > Auction House,automatic,66.2,69.0,51.0,0.25
sunglasses_store,63be6904847c3692a84b9bed,Sunglasses Store,Retail > Fashion Retail > Sunglasses Store,automatic,73.25,77.0,38.0,0.25
packaging_contractors_and_service,54541b70498ea6ccd0204bff,Transportation Service,Travel and Transportation > Transportation Service,automatic,60.050000000000004,58.0,51.0,0.2
foundation_repair,63be6904847c3692a84b9bec,Fashion Retail,Retail > Fashion Retail,automatic,60.65,65.0,50.0,0.0
furniture_accessory_store,4bf58dd8d48988d1f8941735,Furniture and Home Store,Retail > Furniture and Home Store,automatic,64.25,65.0,54.0,0.2
muay_thai_club,4bf58dd8d48988d149941735,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,automatic,54.07857142857143,44.0,19.0,0.14285714285714285
unemployment_office,4bf58dd8d48988d124941735,Office,Business and Professional Services > Office,automatic,62.099999999999994,48.0,45.0,0.2
public_phones,5744ccdfe4b0c0459246b4c4,Public Bathroom,Community and Government > Public Bathroom,automatic,59.650000000000006,64.0,33.0,0.2
convenience_store,4bf58dd8d48988d1f6931735,General Travel,Travel and Transportation > General Travel,manual,100.0,,,
boot_camp,52e81612bcbc57f1066b7a10,Summer Camp,Community and Government > Summer Camp,automatic,52.2,50.0,34.0,0.2
clothing_company,4bf58dd8d48988d103951735,Clothing Store,Retail > Fashion Retail > Clothing Store,automatic,66.45,67.0,32.0,0.25
construction_management,63be6904847c3692a84b9b36,Construction,Business and Professional Services > Construction,automatic,67.2,69.0,33.0,0.2
venezuelan_restaurant,4bf58dd8d48988d1c4941735,Restaurant,Dining and Drinking > Restaurant > Restaurant,automatic,72.3,65.0,51.0,0.25
eastern_european_restaurant,4bf58dd8d48988d109941735,Eastern European Restaurant,Dining and Drinking > Restaurant > Eastern European Restaurant,automatic,79.5,74.0,44.0,0.6
volleyball_club,4eb1bf013b7b6f98df247e07,Volleyball Court,Sports and Recreation > Volleyball Court,automatic,77.25,84.0,47.0,0.2
jewelry_manufacturer,63be6904847c3692a84b9b70,Manufacturer,Business and Professional Services > Manufacturer,automatic,76.0,75.0,49.0,0.2
outdoor_gear,58daa1558bbb0b01f18ec203,Outdoor Gym,Sports and Recreation > Gym and Studio > Outdoor Gym,automatic,67.36666666666667,78.0,28.0,0.16666666666666666
formal_wear_store,5745c2e4498e11e7bccabdbd,Drugstore,Retail > Drugstore,automatic,53.85,46.0,57.0,0.0
specialty_foods,50aa9e744b90af0d42d5de0e,Health Food Store,Retail > Food and Beverage Retail > Health Food Store,automatic,56.3,69.0,32.0,0.0
coin_dealers,4eb1c1623b7b52c0e1adc2ec,Car Dealership,Retail > Automotive Retail > Car Dealership,automatic,60.15,69.0,36.0,0.0
clown,530e33ccbcbc57f1066bbff3,Town,Landmarks and Outdoors > States and Municipalities > Town,automatic,49.6,67.0,16.0,0.0
martial_arts_club,4bf58dd8d48988d101941735,Martial Arts Dojo,Sports and Recreation > Martial Arts Dojo,automatic,72.98333333333332,76.0,45.0,0.3333333333333333
flea_market,4bf58dd8d48988d1f7941735,Flea Market,Retail > Flea Market,automatic,99.41666666666667,100.0,71.0,0.6666666666666666
